티커,종가,시가총액,거래량,거래대금,상장주식수,날짜
038540,17500,835596947500,126130,2196493300,47748397,20190131
039130,70800,822425898000,74263,5268385900,11616185,20190131
105630,20450,818000000000,125207,2565742550,40000000,20190131
001060,40400,815946033600,57271,2306617600,20196684,20190131
102940,71100,811418511600,44630,3163657500,11412356,20190131
145720,73100,809131473000,53210,3847438000,11068830,20190131
008060,10250,799571463000,542173,5550066500,78006972,20190131
001230,8330,794954699210,590686,5008950550,95432737,20190131
284740,177000,794281482000,2898,515568500,4487466,20190131
037560,10250,793830366250,248324,2526981200,77446865,20190131
285130,68500,793219862000,35501,2432440100,11579852,20190131
048260,55500,792857293500,56899,3153901000,14285717,20190131
082640,4910,792270652350,124791,619848635,161358585,20190131
122870,43500,791078341500,658091,28310033800,18185709,20190131
006040,235000,790352000000,3655,853029500,3363200,20190131
140410,91000,786395428000,126809,11494061200,8641708,20190131
093370,8260,764932324940,689346,5727736270,92606819,20190131
058470,50000,762118500000,46358,2347322150,15242370,20190131
014820,29650,759588851150,16626,491151450,25618511,20190131
027410,7930,756277589470,148462,1170304740,95369179,20190131
298380,16900,753520300000,787681,13502985800,44587000,20190131
214370,69900,750935700000,23230,1628859300,10743000,20190131
079550,34000,748000000000,145256,4947976400,22000000,20190131
018670,82400,746063360800,18235,1493800300,9054167,20190131
298020,171500,742197463000,15905,2744050000,4327682,20190131
183490,95900,741498224600,47485,4559127700,7731994,20190131
002270,640000,724396800000,3161,2009718000,1131870,20190131
007390,13650,724219846350,1415133,19417090550,53056399,20190131
083790,17850,721103121900,504702,9041840450,40397934,20190131
093050,24650,720766000000,56500,1389136600,29240000,20190131
092040,37550,720641200500,131818,5015065500,19191510,20190131
086520,32550,719035717050,417954,13699378100,22090191,20190131
000070,83200,712547347200,13573,1132214500,8564271,20190131
069080,20150,711514312600,275293,5575713000,35310884,20190131
036420,4930,710260081260,1123762,5552967050,144068982,20190131
025860,14050,697987744150,277445,3868146800,49678843,20190131
003620,4960,684229004160,259882,1283910780,137949396,20190131
005850,20200,684074818000,57793,1167034050,33865090,20190131
200130,23150,683933367700,68036,1576426500,29543558,20190131
003470,3425,683618272800,462841,1578710740,199596576,20190131
033180,11900,680634315900,1432921,17100954750,57196161,20190131
